NAME,S1903_C01_014E,S1903_C01_021E,S1903_C01_023E,S1903_C01_019E,S1903_C01_026E,S1903_C01_036E,S1903_C01_039E
Geographic Area Name,Estimate!!Number!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,"Estimate!!Number!!FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","Estimate!!Number!!FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years",Estimate!!Number!!FAMILIES!!Families!!Married-couple families!!With own children under 18 years,Estimate!!Number!!FAMILY INCOME BY FAMILY SIZE!!4-person families,Estimate!!Number!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone,Estimate!!Number!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone
Alabama,611532,143812,36997,321774,219517,354379,268138
Alaska,66642,15148,7999,53958,30259,36424,40668
Arizona,917646,157485,70529,473005,313943,445348,375095
Arkansas,360301,80703,28303,216016,131121,195319,174736
California,3713165,785199,345015,2597957,1852673,1868777,1529825
Colorado,611451,109140,48397,448506,272603,355080,354150
Connecticut,446396,88950,31248,244223,174543,249593,185400
Delaware,141175,26708,8328,62949,45452,63275,49706
District of Columbia,61812,23468,4051,31672,21766,89713,65212
Florida,3020141,501746,183638,1371191,950122,1442811,1119662
Georgia,1067833,297357,85189,751143,499120,659639,510805
Hawaii,174395,27197,11110,81570,57850,64614,63333
Idaho,211921,38503,18088,162570,83000,96028,84231
Illinois,1434880,286359,109472,851586,577500,891028,727196
Indiana,778955,175401,73282,476337,300207,442463,385999
Iowa,380845,80483,34218,238232,138126,220072,192693
Kansas,339508,61884,26323,230736,129984,184059,177418
Kentucky,528114,111743,47779,319058,192882,298833,255784
Louisiana,529134,149620,46952,275386,194429,324161,263213
Maine,208234,24948,12386,86733,54271,105777,82776
Maryland,677874,142819,52160,428454,283158,422251,287733
Massachusetts,823493,156265,57576,473236,343232,470191,350003
Michigan,1269464,227305,92991,656130,429095,683393,602257
Minnesota,657239,115814,56599,435173,245931,385440,334604
Mississippi,344818,101705,20738,181921,135859,195223,160904
Missouri,744490,141179,64586,435776,273506,442127,353253
Montana,147589,16904,11006,79148,44874,72621,70402
Nebraska,226070,41894,19937,164627,87365,130923,120185
Nevada,339363,74309,35469,192471,138474,178452,172647
New Hampshire,184717,23040,11886,91617,57613,91166,72050
New Jersey,1027618,205548,71989,690921,483432,544109,385332
New Mexico,277157,54715,28466,112148,80642,143745,129194
New York,2319319,449490,147361,1204301,860241,1389721,1075132
North Carolina,1248012,277690,96935,776142,495638,746990,580629
North Dakota,90915,14842,7611,65176,34888,56502,62693
Ohio,1452533,296521,113750,785100,492688,847176,725800
Oklahoma,437753,102181,45118,288886,172442,247940,225581
Oregon,522158,84588,39360,283019,177258,275583,226431
Pennsylvania,1670372,286219,112778,859848,565448,917493,751134
Rhode Island,136972,27291,10715,64851,44599,81819,60193
South Carolina,667861,138351,45406,357488,229558,353650,277732
South Dakota,107254,18502,9739,69682,36452,57808,62099
Tennessee,803164,171837,59675,488999,319543,472517,388542
Texas,2614303,793333,268294,2353236,1507108,1588811,1425163
Utah,258479,51332,24885,313821,147506,123670,120936
Vermont,93282,12272,5956,40746,27004,48215,41636
Virginia,957818,193372,71279,647143,404960,551833,437451
Washington,836905,142198,68380,587772,349397,468918,426587
West Virginia,247880,42555,15874,114038,71215,122049,102871
Wisconsin,739688,129946,58872,395970,235731,413871,392022
Wyoming,76086,13098,5392,46194,24359,37647,38880
Puerto Rico,495198,109024,29726,95098,108674,237069,177876
