Area of Residence,Total Original Medicare Part A and/or Part B Enrollees,Total Medicare Part A and/or Part B Persons With Utilization,Total Medicare Part A and/or Part B Program Payments,Medicare Part A and/or Part B Program Payments Per Person With Utilization,Medicare Part A and/or Part B Program Payments Per Original Medicare Enrollee,Total Original Medicare Part A Enrollees,Total Medicare Part A Persons With Utilization,Total Medicare Part A Program Payments,Medicare Part A Program Payments Per Person With Utilization,Medicare Part A Program Payments Per Original Medicare Enrollee,Total Original Medicare Part B Enrollees,Total Medicare Part B Persons With Utilization,Total Medicare Part B Program Payments,Medicare Part B Program Payments Per Person With Utilization,Medicare Part B Program Payments Per Original Medicare Enrollee,Total Beneficiary Cost Sharing,Beneficiary Cost Sharing Per Person With Utilization,Beneficiary Cost Sharing Per Original Medicare Enrollee,Discharged Dead
All Areas,"36,356,380","33,295,595","$396,122,195,621","$11,897","$10,896","36,051,507","6,655,772","$187,713,142,803","$28,203","$5,207","30,842,701","32,679,847","$208,409,052,818","$6,377","$6,757","$64,282,111,309","$1,931","$1,768","1,693,338"
United States,"35,681,342","33,193,839","395,342,489,207","11,910","11,080","35,377,335","6,627,749","187,231,365,080","28,250","5,292","30,726,771","32,592,838","208,111,124,126","6,385","6,773","64,168,853,122","1,933","1,798","1,684,655"
Alabama,"528,983","512,627","$5,653,598,984","$11,029","$10,688","522,820","116,144","$2,684,356,995","$23,112","$5,134","456,357","499,789","$2,969,241,988","$5,941","$6,506","$904,156,197","$1,764","$1,709","32,352"
Alaska,"105,831","90,717","1,051,813,241","11,594","9,939","105,399","13,055","467,738,024","35,828","4,438","93,234","89,885","584,075,217","6,498","6,265","170,015,088","1,874","1,606","2,301"
Arizona,"767,513","720,762","7,745,898,078","10,747","10,092","757,650","135,153","3,352,520,020","24,805","4,425","662,898","703,776","4,393,378,059","6,243","6,628","1,264,524,931","1,754","1,648","38,995"
Arkansas,"430,724","409,441","4,272,207,750","10,434","9,919","429,009","81,568","1,954,272,166","23,959","4,555","384,774","403,599","2,317,935,584","5,743","6,024","745,790,091","1,821","1,731","19,751"
California,"3,436,742","3,009,051","43,255,054,191","14,375","12,586","3,311,257","588,308","21,825,304,810","37,098","6,591","2,876,785","2,933,568","21,429,749,381","7,305","7,449","6,043,822,673","2,009","1,759","150,700"
Colorado,"518,796","467,294","4,904,130,297","10,495","9,453","510,771","81,335","2,113,982,177","25,991","4,139","440,280","458,267","2,790,148,120","6,088","6,337","858,656,768","1,838","1,655","22,012"
Connecticut,"363,399","326,323","4,433,665,245","13,587","12,201","361,543","70,774","2,192,521,128","30,979","6,064","297,814","320,526","2,241,144,117","6,992","7,525","669,859,414","2,053","1,843","17,333"
Delaware,"171,134","162,925","1,954,121,238","11,994","11,419","170,321","29,004","894,050,972","30,825","5,249","154,839","161,216","1,060,070,266","6,575","6,846","315,466,609","1,936","1,843","6,462"
District of Columbia,"70,224","57,112","794,142,024","13,905","11,309","69,203","11,547","426,460,644","36,933","6,162","55,171","55,774","367,681,380","6,592","6,664","120,049,563","2,102","1,710","2,249"
Florida,"2,359,900","2,272,148","28,720,918,314","12,640","12,170","2,353,861","506,165","12,763,280,221","25,216","5,422","2,064,027","2,226,320","15,957,638,094","7,168","7,731","4,708,076,737","2,072","1,995","136,959"
Georgia,"953,980","900,795","10,195,174,819","11,318","10,687","935,418","184,063","4,769,434,287","25,912","5,099","824,646","881,963","5,425,740,532","6,152","6,579","1,652,508,766","1,835","1,732","51,326"
Hawaii,"145,637","116,113","1,088,203,917","9,372","7,472","145,288","18,643","543,127,618","29,133","3,738","108,392","112,687","545,076,299","4,837","5,029","165,564,284","1,426","1,137","5,770"
Idaho,"215,741","201,173","1,926,353,213","9,576","8,929","215,612","33,571","790,234,751","23,539","3,665","190,798","197,751","1,136,118,462","5,745","5,955","358,103,793","1,780","1,660","9,421"
